station_name,start_rides,station_lat,station_lng,end_rides,total_activity,net_inflow,abs_net_inflow,imbalance_ratio,imbalance_type
36 Ave & 31 St,2360,40.75651272984955,-73.92957486212252,2381,4741,21,21,0.004429445264712,net_inflow_accumulation
36 St & 3 Ave,1417,40.655716,-74.006664,1444,2861,27,27,0.0094372596994058,net_inflow_accumulation
36 St & 4 Ave,1530,40.654144,-74.00422,1561,3091,31,31,0.0100291167906826,net_inflow_accumulation
36 St & 47 Ave,205,40.74221834996096,-73.92935156822205,184,389,-21,21,-0.0539845758354755,net_outflow_shortage
36 St & Ditmars Blvd,1545,40.774306,-73.908335,1553,3098,8,8,0.0025823111684958,net_inflow_accumulation
36 St & Hunters Point Ave,232,40.73781699881193,-73.93024072051048,212,444,-20,20,-0.045045045045045,net_outflow_shortage
36 St & Queens Blvd,529,40.74408,-73.92901,479,1008,-50,50,-0.0496031746031746,net_outflow_shortage
37 Ave & 106 St,162,40.75397,-73.862,160,322,-2,2,-0.0062111801242236,net_outflow_shortage
37 Ave & 113 St,118,40.75475,-73.8549,137,255,19,19,0.0745098039215686,net_inflow_accumulation
37 Ave & 35 St,817,40.7531106,-73.9279917,802,1619,-15,15,-0.0092649783817171,net_outflow_shortage
37 Ave & 63 St,443,40.74893,-73.89981,436,879,-7,7,-0.0079635949943117,net_outflow_shortage
37 St & 24 Ave,824,40.7701477,-73.9120938,831,1655,7,7,0.0042296072507552,net_inflow_accumulation
38 Ave & 29 St,1220,40.75473,-73.93367,1214,2434,-6,6,-0.0024650780608052,net_outflow_shortage
38 St & 30 Ave,2485,40.764174520197685,-73.91583994030952,2495,4980,10,10,0.002008032128514,net_inflow_accumulation
38 St & Northern Blvd,548,40.752372,-73.925384,556,1104,8,8,0.0072463768115942,net_inflow_accumulation
39 Ave & 45 St,650,40.74947822183477,-73.91826465725897,657,1307,7,7,0.0053557765876052,net_inflow_accumulation
39 Ave & 54 St,226,40.74891,-73.90899,222,448,-4,4,-0.0089285714285714,net_outflow_shortage
39 Ave & 56 St,325,40.74838,-73.90699,323,648,-2,2,-0.0030864197530864,net_outflow_shortage
39 Ave & 99 St,263,40.74962,-73.86677,267,530,4,4,0.0075471698113207,net_inflow_accumulation
39 Dr & 52 St,879,40.74732,-73.91197,825,1704,-54,54,-0.0316901408450704,net_outflow_shortage
39 St & 47 Ave,785,40.74215636827728,-73.92662644386292,755,1540,-30,30,-0.0194805194805194,net_outflow_shortage
39 St & 50 Ave,767,40.73824937345944,-73.92737478017807,761,1528,-6,6,-0.0039267015706806,net_outflow_shortage
39 St & Queens Blvd,981,40.74431,-73.92601,944,1925,-37,37,-0.0192207792207792,net_outflow_shortage
4 Ave & 17 St,884,40.665507,-73.993037,894,1778,10,10,0.0056242969628796,net_inflow_accumulation
4 Ave & 26 St,790,40.660079,-73.998633,798,1588,8,8,0.0050377833753148,net_inflow_accumulation
4 Ave & 3 St,2349,40.673746,-73.985649,2376,4725,27,27,0.0057142857142857,net_inflow_accumulation
4 Ave & E 12 St,6505,40.732647,-73.99011,6710,13215,205,205,0.015512674990541,net_inflow_accumulation
4 Ave & Shore Road Dr,496,40.637033,-74.022141,503,999,7,7,0.007007007007007,net_inflow_accumulation
4 St & River St,1,40.7408139,-74.0274062,3,4,2,2,0.5,net_inflow_accumulation
40 Ave & 9 St,828,40.75742,-73.945133,817,1645,-11,11,-0.0066869300911854,net_outflow_shortage
40 Ave & Crescent St,1056,40.7535992020056,-73.93795609474182,1048,2104,-8,8,-0.0038022813688212,net_outflow_shortage
40 St & 3 Ave,138,40.6535,-74.00902,160,298,22,22,0.0738255033557047,net_inflow_accumulation
40 St & Queens Blvd,1477,40.743540273428685,-73.92435193061829,1425,2902,-52,52,-0.0179186767746381,net_outflow_shortage
41 Ave & 67 St,242,40.74446,-73.89764,230,472,-12,12,-0.0254237288135593,net_outflow_shortage
41 Ave & 77 St,855,40.74557,-73.8882,856,1711,1,1,0.0005844535359438,net_inflow_accumulation
41 Ave & 80 St,489,40.74586,-73.88539,480,969,-9,9,-0.0092879256965944,net_outflow_shortage
41 St & 3 Ave,81,40.652512,-74.008906,85,166,4,4,0.0240963855421686,net_inflow_accumulation
41 St & 4 Ave,547,40.651354,-74.007168,562,1109,15,15,0.0135256988277727,net_inflow_accumulation
42 Ave & 108 St,114,40.74944,-73.85792,112,226,-2,2,-0.0088495575221238,net_outflow_shortage
42 Pl & Northern Blvd,710,40.753091,-73.920603,702,1412,-8,8,-0.0056657223796034,net_outflow_shortage
42 St & 1 Ave,123,40.654798,-74.014372,129,252,6,6,0.0238095238095238,net_inflow_accumulation
43 Ave & 111 St,153,40.74955,-73.85464,158,311,5,5,0.0160771704180064,net_inflow_accumulation
43 Ave & 40 St,1150,40.74562,-73.92402,1112,2262,-38,38,-0.0167992926613616,net_outflow_shortage
43 Ave & 42 St,1633,40.74534682580983,-73.9219419658184,1580,3213,-53,53,-0.0164954870837223,net_outflow_shortage
43 Ave & 47 St,993,40.7448062877224,-73.91728967428207,867,1860,-126,126,-0.0677419354838709,net_outflow_shortage
43 St & 23 Ave,728,40.769673,-73.906018,728,1456,0,0,0.0,balanced
43 St & 35 Ave,684,40.754139,-73.919543,667,1351,-17,17,-0.0125832716506291,net_outflow_shortage
